iter	Passed	Remaining
581	34311	12852
582	34366	12791
583	34420	12730
584	34474	12670
585	34529	12609
586	34585	12549
587	34639	12489
588	34697	12429
589	34754	12370
590	34809	12309
591	34870	12251
592	34930	12193
593	34988	12134
594	35049	12075
595	35107	12016
596	35161	11956
597	35216	11895
598	35270	11835
599	35324	11774
600	35378	11714
601	35433	11654
602	35489	11594
603	35543	11534
604	35599	11474
605	35684	11423
606	35749	11366
607	35808	11308
608	35862	11247
609	35916	11187
610	35970	11126
611	36024	11066
612	36081	11006
613	36139	10947
614	36200	10889
615	36262	10831
616	36327	10774
617	36380	10714
618	36434	10653
619	36490	10593
620	36554	10536
621	36612	10477
622	36666	10417
623	36721	10357
624	36779	10298
625	36833	10238
626	36888	10178
627	36941	10117
628	37001	10059
629	37057	9999
630	37112	9939
631	37168	9880
632	37223	9820
633	37277	9760
634	37333	9700
635	37398	9643
636	37462	9586
637	37518	9526
638	37573	9466
639	37629	9407
640	37685	9347
641	37740	9288
642	37797	9229
643	37850	9168
644	37909	9109
645	37966	9050
646	38022	8991
647	38077	8931
648	38133	8872
649	38190	8813
650	38243	8753
651	38299	8693
652	38352	8633
653	38406	8573
654	38462	8514
655	38516	8454
656	38574	8395
657	38633	8337
658	38694	8279
659	38764	8222
660	38819	8163
661	38875	8104
662	38930	8044
663	38985	7984
664	39044	7926
665	39098	7866
666	39154	7807
667	39209	7747
668	39263	7688
669	39319	7629
670	39374	7569
671	39430	7510
672	39485	7451
673	39538	7391
674	39595	7332
675	39650	7273
676	39706	7213
677	39762	7154
678	39824	7096
679	39886	7038
680	39948	6980
681	40005	6921
682	40062	6862
683	40121	6804
684	40175	6744
685	40237	6686
686	40294	6627
687	40347	6568
688	40406	6509
689	40462	6450
690	40515	6390
691	40571	6332
692	40626	6272
693	40682	6213
694	40738	6154
695	40808	6097
696	40884	6041
697	40943	5983
698	41001	5924
699	41061	5865
700	41121	5807
701	41178	5748
702	41232	5689
703	41293	5630
704	41347	5571
705	41403	5512
706	41462	5454
707	41517	5394
708	41571	5335
709	41648	5279
710	41704	5220
711	41759	5161
712	41817	5102
713	41877	5044
714	41933	4985
715	41987	4925
716	42042	4866
717	42096	4807
718	42152	4748
719	42214	4690
720	42274	4632
721	42334	4573
722	42394	4515
723	42448	4455
724	42503	4396
725	42558	4337
726	42612	4278
727	42668	4219
728	42724	4161
729	42780	4102
730	42835	4043
731	42889	3984
732	42946	3925
733	43001	3866
734	43054	3807
735	43108	3748
736	43161	3689
737	43216	3630
738	43271	3571
739	43326	3512
740	43383	3454
741	43442	3395
742	43505	3337
743	43566	3279
744	43622	3220
745	43677	3161
746	43731	3102
747	43787	3044
748	43842	2985
749	43896	2926
750	43951	2867
751	44005	2808
752	44060	2750
753	44115	2691
754	44170	2632
755	44227	2574
756	44283	2515
757	44341	2456
758	44397	2398
759	44451	2339
760	44507	2280
761	44561	2222
762	44625	2164
763	44684	2105
764	44742	2047
765	44804	1988
766	44860	1930
767	44915	1871
768	44970	1812
769	45026	1754
770	45081	1695
771	45135	1637
772	45190	1578
773	45245	1519
774	45300	1461
775	45356	1402
776	45410	1344
777	45466	1285
778	45520	1227
779	45574	1168
780	45628	1110
781	45684	1051
782	45746	993
783	45807	934
784	45864	876
785	45924	817
786	45983	759
787	46042	701
788	46096	642
789	46151	584
790	46207	525
791	46260	467
792	46316	408
793	46369	350
794	46427	291
795	46483	233
796	46539	175
797	46595	116
798	46650	58
799	46704	0
